Interval (ms),Utc (ms),ElapsedTime (Min),Steering (volt),GPSDOP (),GPSSats (),GPSQual (),Battery (Volts),Battery (Volts),AccelX (G),AccelY (G),AccelZ (G),Yaw (Deg/Sec),Pitch (Deg/Sec),Roll (Deg/Sec),Gsum (G),GsumMax (G),GsumPct (%),RPM (),GPIO1 (),LR_SGAMP_CA (),RR_SGAMP_RA (),RR_SGAMP_CA (),LR_SGAMP_CA (),LR_SGAMP_RA (),RF_SGAMP_CA (),RF_SGAMP_RA (),Latitude (Degrees),Longitude (Degrees),Speed (mph),Altitude (ft),GPSSats (),GPSQual (),GPSDOP (),LapCount (),LapTime (Min),Sector (),SectorTime (Min),PredTime (Min),CurrentLap (),Distance (mi),SessionTime (Min)
32054,1722833332602,32.0,4.45,0.7,1.0,1.0,1.27,12.31,0.05,-0.02,0.01,0.0,0.0,-0.0,0.05,0.05,94.0,0.0,0.0,0,0.0,-2006.0,-16320.0,-1632.0,-25.0,-6366.0,32.776573,-117.070618,0.24,495.7,9.0,2.0,2.5,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.5342
33054,1722833333602,33.0,4.364,0.7,1.0,1.0,1.27,12.25,0.05,-0.02,0.0,0.0,-0.0,-0.0,0.05,0.05,95.0,0.0,0.0,0,0.0,-1996.0,-19870.0,-1987.0,-25.0,-6367.0,32.776573,-117.070618,0.25,495.1,10.0,2.0,2.4,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.5509
34054,1722833334602,34.0,4.364,0.7,1.0,1.0,1.26,12.31,0.05,-0.02,0.01,0.0,0.0,-0.0,0.05,0.05,95.0,0.0,0.0,0,0.0,-1966.0,-19600.0,-1960.0,-25.0,-6366.0,32.776577,-117.070602,0.06,494.3,10.0,2.0,2.4,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.5676
35054,1722833335601,35.0,4.364,0.7,1.0,1.0,1.26,12.25,0.05,-0.02,0.0,0.0,0.0,-0.0,0.05,0.05,95.0,0.0,0.0,0,0.0,-1986.0,-20600.0,-2060.0,-25.0,-6366.0,32.776577,-117.070618,0.25,496.3,10.0,2.0,2.4,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.5842
36054,1722833336600,36.0,4.537,0.7,1.0,1.0,1.26,12.28,0.05,-0.02,0.01,0.0,-0.0,-0.0,0.05,0.05,94.0,0.0,0.0,0,0.0,-1976.0,-18840.0,-1884.0,-25.0,-6363.0,32.776585,-117.070618,0.19,496.4,12.0,2.0,1.6,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.6009
37054,1722833337600,37.0,4.364,0.7,1.0,1.0,1.26,12.25,0.05,-0.02,0.01,0.0,-0.0,-0.0,0.05,0.05,95.0,0.0,0.0,0,0.0,-1966.0,-21030.0,-2103.0,-25.0,-6367.0,32.776585,-117.070618,0.22,496.4,13.0,2.0,1.5,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.6176
38054,1722833338600,38.0,4.364,0.7,1.0,1.0,1.26,12.29,0.05,-0.02,0.01,0.0,-0.0,-0.0,0.05,0.06,92.0,0.0,0.0,0,0.0,-2016.0,-19280.0,-1928.0,-25.0,-6376.0,32.776592,-117.070618,0.1,492.2,16.0,2.0,1.3,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.6342
39054,1722833339599,39.0,4.277,0.6,1.0,1.0,1.26,12.26,0.05,-0.02,0.01,0.0,0.0,-0.0,0.05,0.06,92.0,0.0,0.0,0,0.0,-2036.0,-18930.0,-1893.0,-25.0,-6374.0,32.7766,-117.070602,0.02,489.9,16.0,2.0,1.3,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.6509
40054,1722833340600,40.0,4.71,0.6,1.0,1.0,1.26,12.25,0.05,-0.02,0.01,0.0,0.0,-0.0,0.05,0.06,92.0,0.0,0.0,0,0.0,-2056.0,-16830.0,-1683.0,-25.0,-6373.0,32.776604,-117.070602,0.22,487.1,16.0,2.0,1.3,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.6676
41054,1722833341602,41.0,4.017,0.7,1.0,1.0,1.26,12.28,0.05,-0.02,0.01,0.0,0.0,-0.0,0.05,0.06,93.0,0.0,0.0,0,0.0,-1996.0,-21440.0,-2144.0,-25.0,-6369.0,32.776608,-117.070602,0.04,484.5,16.0,2.0,1.3,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.6842
