"Interval"|"ms"|0|0|1,"Utc"|"ms"|0|0|1,"ElapsedTime"|"Min"|0.0|0.0|10,"Steering"|"volt"|-130.0|130.09|10,"GPSDOP"|""|0.0|20.0|10,"GPSSats"|""|0|20|10,"GPSQual"|""|0|5|1,"Battery"|"Volts"|0.0|20.0|1,"Battery"|"Volts"|0.0|20.0|1,"AccelX"|"G"|-3.0|3.0|25,"AccelY"|"G"|-3.0|3.0|25,"AccelZ"|"G"|-3.0|3.0|25,"Yaw"|"Deg/Sec"|-120|120|25,"Pitch"|"Deg/Sec"|-120|120|25,"Roll"|"Deg/Sec"|-120|120|25,"Gsum"|"G"|0.0|3.0|25,"GsumMax"|"G"|0.0|3.0|25,"GsumPct"|"%"|0|100|25,"RPM"|""|0|10000|25,"GPIO1"|""|0.0|1.0|10,"LR_SGAMP_CA"|""|-32768|32767|200,"RR_SGAMP_RA"|""|-32768|32767|1,"RR_SGAMP_CA"|""|-32768|32767|1,"LR_SGAMP_CA"|""|-32768|32767|1,"LR_SGAMP_RA"|""|-32768|32767|1,"RF_SGAMP_CA"|""|-32768|32767|1,"RF_SGAMP_RA"|""|-32768|32767|1,"Latitude"|"Degrees"|-180.0|180.0|10,"Longitude"|"Degrees"|-180.0|180.0|10,"Speed"|"mph"|0.0|150.0|10,"Altitude"|"ft"|0.0|4000.0|10,"GPSSats"|""|0|20|10,"GPSQual"|""|0|5|10,"GPSDOP"|""|0.0|20.0|10,"LapCount"|""|0|0|10,"LapTime"|"Min"|0.0|0.0|10,"Sector"|""|0|0|10,"SectorTime"|"Min"|0.0|0.0|10,"PredTime"|"Min"|0.0|0.0|5,"CurrentLap"|""|0|0|10,"Distance"|"mi"|0.0|0.0|10,"SessionTime"|"Min"|0.0|0.0|10
31474,1722833332017,0.5246,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
31479,1722833332022,0.5246,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
31484,1722833332027,0.5247,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
31489,1722833332032,0.5248,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
31494,1722833332037,0.5249,,,,,,,0.05,-0.02,0.01,0,-0,-0,0.05,0.05,94,0,,0,,,,,,,,,,,,,,,,,,,,,
31499,1722833332042,0.525,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
31504,1722833332047,0.5251,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
31509,1722833332052,0.5252,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
31514,1722833332057,0.5252,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
31519,1722833332062,0.5253,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
31524,1722833332067,0.5254,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
31529,1722833332072,0.5255,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
31534,1722833332077,0.5256,,,,,,,0.05,-0.02,0.01,0,-0,-0,0.05,0.05,95,0,,0,,,,,,,,,,,,,,,,,,,,,
31539,1722833332082,0.5256,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
31544,1722833332092,0.5257,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
31549,1722833332097,0.5258,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
31554,1722833332102,0.5259,4.624,0.7,1,,,,,,,,,,,,,,0,0,,,,,,,32.776577,-117.070602,0.1,493.0,9,2,2.5,0,0.0,-1,0.0,,0,0.0,0.5259
31559,1722833332107,0.526,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
31564,1722833332112,0.5261,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
31569,1722833332117,0.5262,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
31574,1722833332122,0.5262,,,,,,,0.05,-0.02,0.0,0,-0,-0,0.05,0.05,96,0,,0,,,,,,,,,,,,,,,,,,,,,
31579,1722833332127,0.5263,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
31584,1722833332132,0.5264,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
31589,1722833332137,0.5265,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
31594,1722833332142,0.5266,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
